#Pb
#Energy	LinAtten
4.9093759E+00  8.4032E+03
4.9339228E+00  8.3033E+03
4.9585924E+00  8.2045E+03
4.9833854E+00  8.1049E+03
5.0083023E+00  8.0053E+03
5.0333438E+00  7.9068E+03
5.0585105E+00  7.8094E+03
5.0838031E+00  7.7134E+03
5.1092221E+00  7.6185E+03
5.1347682E+00  7.5249E+03
5.1604421E+00  7.4325E+03
5.1862443E+00  7.3400E+03
5.2121755E+00  7.2481E+03
5.2382364E+00  7.1574E+03
5.2644276E+00  7.0679E+03
5.2907497E+00  6.9795E+03
5.3172034E+00  6.8923E+03
5.3437895E+00  6.8062E+03
5.3705084E+00  6.7212E+03
5.3973609E+00  6.6373E+03
5.4243477E+00  6.5546E+03
5.4514695E+00  6.4729E+03
5.4787268E+00  6.3923E+03
5.5061205E+00  6.3127E+03
5.5336511E+00  6.2342E+03
5.5613193E+00  6.1567E+03
5.5891259E+00  6.0804E+03
5.6170716E+00  6.0049E+03
5.6451569E+00  5.9303E+03
5.6733827E+00  5.8569E+03
5.7017496E+00  5.7844E+03
5.7302584E+00  5.7128E+03
5.7589096E+00  5.6422E+03
5.7877042E+00  5.5724E+03
5.8166427E+00  5.5037E+03
5.8457259E+00  5.4358E+03
5.8749546E+00  5.3688E+03
5.9043293E+00  5.3027E+03
5.9338510E+00  5.2375E+03
5.9635202E+00  5.1731E+03
5.9933378E+00  5.1096E+03
6.0233045E+00  5.0468E+03
6.0534210E+00  4.9850E+03
6.0836882E+00  4.9240E+03
6.1141066E+00  4.8637E+03
6.1446771E+00  4.8039E+03
6.1754005E+00  4.7443E+03
6.2062775E+00  4.6856E+03
6.2373089E+00  4.6276E+03
6.2684954E+00  4.5704E+03
6.2998379E+00  4.5139E+03
6.3313371E+00  4.4582E+03
6.3629938E+00  4.4032E+03
6.3948088E+00  4.3489E+03
6.4267828E+00  4.2954E+03
6.4589167E+00  4.2425E+03
6.4912113E+00  4.1904E+03
6.5236674E+00  4.1390E+03
6.5562857E+00  4.0881E+03
6.5890671E+00  4.0380E+03
6.6220125E+00  3.9886E+03
6.6551225E+00  3.9398E+03
6.6883981E+00  3.8916E+03
6.7218401E+00  3.8440E+03
6.7554493E+00  3.7971E+03
6.7892266E+00  3.7508E+03
6.8231727E+00  3.7051E+03
6.8572886E+00  3.6600E+03
6.8915750E+00  3.6155E+03
6.9260329E+00  3.5717E+03
6.9606631E+00  3.5283E+03
6.9954664E+00  3.4856E+03
7.0304437E+00  3.4433E+03
7.0655959E+00  3.4016E+03
7.1009239E+00  3.3605E+03
7.1364285E+00  3.3197E+03
7.1721107E+00  3.2792E+03
7.2079712E+00  3.2394E+03
7.2440111E+00  3.2000E+03
7.2802311E+00  3.1612E+03
7.3166323E+00  3.1228E+03
7.3532155E+00  3.0849E+03
7.3899815E+00  3.0475E+03
7.4269314E+00  3.0107E+03
7.4640661E+00  2.9744E+03
7.5013864E+00  2.9383E+03
7.5388934E+00  2.9029E+03
7.5765878E+00  2.8678E+03
7.6144708E+00  2.8333E+03
7.6525431E+00  2.7992E+03
7.6908058E+00  2.7655E+03
7.7292599E+00  2.7322E+03
7.7679062E+00  2.6991E+03
7.8067457E+00  2.6664E+03
7.8457794E+00  2.6341E+03
7.8850083E+00  2.6023E+03
7.9244334E+00  2.5708E+03
7.9640555E+00  2.5397E+03
8.0038758E+00  2.5090E+03
8.0438952E+00  2.4788E+03
8.0841147E+00  2.4489E+03
8.1245352E+00  2.4194E+03
8.1651579E+00  2.3903E+03
8.2059837E+00  2.3615E+03
8.2470136E+00  2.3330E+03
8.2882487E+00  2.3049E+03
8.3296899E+00  2.2771E+03
8.3713384E+00  2.2497E+03
8.4131951E+00  2.2226E+03
8.4552610E+00  2.1960E+03
8.4975373E+00  2.1696E+03
8.5400250E+00  2.1435E+03
9.030794E+00  1.8680E+03
9.653919E+00  1.5698E+03
1.032004E+01  1.3218E+03
1.103212E+01  1.1139E+03
1.179334E+01  9.3789E+02
1.260708E+01  7.9088E+02
1.277450E+01  7.6483E+02
1.297002E+01  7.3600E+02
1.302216E+01  7.2859E+02
1.310038E+01  1.7958E+03
1.329590E+01  1.7268E+03
1.347697E+01  1.6657E+03
1.440688E+01  1.3928E+03
1.489600E+01  1.2730E+03
1.512400E+01  1.2221E+03
1.518480E+01  1.2089E+03
1.527600E+01  1.6583E+03
1.540095E+01  1.6227E+03
